pitch_id,pitcher_id,pitcher_side,pitch_type,pitch_initial_speed_a,break_x_a,break_z_a,pitch_initial_speed_b,spinrate_b,break_x_b,break_z_b
135,15865,R,Slider,81.2,2.54,-1.04,,,,
136,15865,R,Slider,81.6,0.57,-0.51,,,,
137,15865,R,Slider,81.5,1.35,-3.01,,,,
138,15865,R,Fastball,89.8,-12.93,2.8,,,,
139,15865,R,Fastball,89.1,-12.76,2.1,,,,
140,15865,R,Fastball,90.2,-2.86,10.14,,,,
141,15865,R,Slider,83.3,2.11,0.75,,,,
142,15865,R,Slider,81.9,0.56,-1.25,,,,
143,15865,R,Changeup,82.6,-10.88,5.5,,,,
144,15865,R,Fastball,89.7,-5.05,9.52,,,,
145,15865,R,Fastball,90.9,-10.28,5.21,,,,
146,15865,R,Fastball,92,-5.44,8.75,,,,
147,15865,R,Fastball,90.2,-10.89,2.38,,,,
148,15865,R,Slider,81.1,1.47,0.07,,,,
149,15865,R,Fastball,89.6,-11.85,5.42,,,,
150,15865,R,Slider,82.6,0.96,1.07,,,,
151,15865,R,Slider,80.6,2.37,0.95,,,,
152,15865,R,Fastball,91,-9.04,9.09,,,,
153,15865,R,Fastball,90.5,-9.09,7.87,,,,
154,15865,R,Fastball,91.2,-5.65,9.55,,,,
155,15865,R,Fastball,90.6,-9.46,6.35,,,,
156,15865,R,Slider,81.9,2.11,0.26,,,,
157,15865,R,Slider,82,2.68,2.24,,,,
158,15865,R,Curveball,75.8,4.89,-4.75,,,,
159,15865,R,Curveball,77.3,1.98,-5.64,,,,
160,15865,R,Curveball,75.7,2.46,-1.97,,,,
161,15865,R,Fastball,89.6,-13.26,7.18,,,,
162,15865,R,Fastball,90.5,-12.68,5.36,,,,
163,15865,R,Changeup,82.1,-13.36,4.34,,,,
164,15865,R,Curveball,76.6,2.04,-5.24,,,,
165,15865,R,Slider,81.4,3.06,0.51,,,,
166,15865,R,Changeup,83.1,-10.51,6.76,,,,
167,15865,R,Fastball,90.1,-14.5,5.5,,,,
168,15865,R,Slider,81,2.67,2.82,,,,
169,15865,R,Fastball,89.2,-4.09,8.57,,,,
170,15865,R,Fastball,90.4,-3.85,8.8,,,,
171,15865,R,Fastball,90.6,-11.43,4.69,,,,
172,15865,R,Fastball,91.2,-11.41,1.54,,,,
173,15865,R,Fastball,90.8,-8.79,8.99,,,,
174,15865,R,Fastball,92,-7.09,9.01,,,,
175,15865,R,Fastball,91.8,-7.84,9.46,,,,
176,15865,R,Fastball,92.7,-10.98,4.15,,,,
177,15865,R,Fastball,91,-7.76,2.45,,,,
178,15865,R,Slider,85.1,1.04,0.05,,,,
179,15865,R,Slider,83.8,2.5,-1.05,,,,
180,15865,R,Slider,83.6,2.5,2.8,,,,
181,15865,R,Fastball,92.8,-10.24,5.57,,,,
182,15865,R,Fastball,92.5,-10,4.77,,,,
183,15865,R,Slider,85.4,1.75,2.58,,,,
184,15865,R,Fastball,92.4,-5.79,8.41,,,,
185,15865,R,Slider,84.4,1.58,-0.81,,,,
186,15865,R,Fastball,93,-7,11.63,,,,
187,15865,R,Fastball,92.3,-8.36,3.76,,,,
188,15865,R,Slider,85.1,2.75,-0.57,,,,
189,15865,R,Fastball,91.5,-3.87,10.57,,,,
190,15865,R,Curveball,78,3.1,-3.34,,,,
191,15865,R,Slider,82.6,3.4,0.34,,,,
192,15865,R,Slider,83.3,2.95,-0.26,,,,
193,15865,R,Fastball,92.8,-10.18,8.26,,,,
194,15865,R,Fastball,93,-10.87,7.25,,,,
195,15865,R,Fastball,91.4,-10.74,6.81,,,,
196,15865,R,Fastball,92.9,-8.44,8.47,,,,
197,15865,R,Slider,83.6,2.57,3.53,,,,
198,15865,R,Fastball,93.2,-1.97,7.13,,,,
199,15865,R,Fastball,91.1,-4.11,8.23,,,,
200,15865,R,Slider,84.8,3.26,1.66,,,,
201,15865,R,Fastball,,,,92.8154,2351.04,17.9886,-18.6796
202,15865,R,Fastball,,,,91.3624,2316.87,11.3165,-13.7305
203,15865,R,Fastball,,,,91.2689,2232.52,11.6643,-16.8821
204,15865,R,Fastball,,,,90.4012,2167.4,13.3867,-20.7744
205,15865,R,Fastball,,,,91.1124,2224.22,17.2413,-17.1909
206,15865,R,Fastball,,,,92.4466,2235.02,16.1344,-19.4088
207,15865,R,Curveball,,,,77.4219,1086.85,-8.90004,-47.1563
208,15865,R,Fastball,,,,90.0721,2152.15,14.8191,-22.1475
209,15865,R,Slider,,,,84.2961,607.761,-9.00983,-33.0831
210,15865,R,Slider,,,,82.7407,,-0.602115,-36.6051
211,15865,R,Fastball,,,,90.3612,2100.27,17.8364,-23.4259
212,15865,R,Slider,,,,83.9506,,-4.46543,-35.9328
213,15865,R,Fastball,,,,91.1869,2019.91,5.98479,-12.5396
214,15865,R,Slider,,,,83.8583,,-6.46158,-32.5291
215,15865,R,Slider,,,,84.562,,-3.40932,-35.8283
216,15865,R,Fastball,,,,92.3672,2218.91,7.88214,-14.3761
217,15865,R,Slider,,,,84.8926,,2.95959,-33.6698
218,15865,R,Changeup,,,,84.422,1968.89,20.2208,-30.0969
219,15865,R,Fastball,,,,92.8375,2200.42,6.96713,-9.40217
220,15865,R,Curveball,,,,79.24,2313.08,-6.27378,-47.279
221,15865,R,Fastball,,,,91.2232,2038.46,20.5434,-28.3904
222,15865,R,Slider,,,,83.4415,,-6.47466,-34.4289
223,15865,R,Slider,,,,83.4111,2192.04,-13.5551,-33.1323
224,15865,R,Fastball,,,,92.374,2117.35,3.96343,-13.0565
225,15865,R,Fastball,,,,92.1057,2165.19,6.34533,-20.0448
226,15865,R,Slider,,,,84.1517,,-3.29674,-35.2309
227,15865,R,Slider,,,,85.0315,2128.1,-3.16333,-31.4076
228,15865,R,Fastball,,,,91.3412,2130.05,6.00767,-22.7886
229,15865,R,Slider,,,,82.6073,,-3.01403,-38.2315
230,15865,R,Fastball,,,,92.4842,2216.31,16.2401,-12.9236
231,15865,R,Fastball,,,,90.3369,2118.82,12.4695,-25.4032
232,15865,R,Curveball,,,,78.3624,2368.45,-7.44898,-52.0453
233,15865,R,Fastball,,,,91.8653,2198.34,7.31571,-16.8958
234,15865,R,Curveball,,,,77.451,2243.99,-5.89608,-48.7587
235,15865,R,Fastball,,,,89.4918,2201.52,9.3057,-18.7924
236,15865,R,Fastball,,,,89.4791,2204.47,1.40929,-20.0374
237,15865,R,Fastball,,,,90.121,2165.76,9.5863,-15.3273
238,15865,R,Fastball,,,,90.4329,2096.6,15.7598,-23.0333
239,15865,R,Slider,,,,82.9348,,-2.39101,-37.0583
240,15865,R,Fastball,,,,91.231,2227.31,10.9397,-22.8801
241,15865,R,Fastball,,,,90.8408,2235.83,8.21489,-23.1197
242,15865,R,Curveball,,,,77.1388,2229.49,-8.2155,-53.5672
243,15865,R,Slider,,,,81.9705,,-6.15217,-34.5474
244,15865,R,Slider,,,,83.462,,-4.27477,-31.4381
245,15865,R,Fastball,,,,89.8845,2168.29,13.9567,-25.9992
246,15865,R,Slider,,,,81.4794,,-5.61629,-43.58
247,15865,R,Slider,,,,81.7381,,-7.03615,-39.3638
248,15865,R,Slider,,,,81.0711,,-4.40033,-43.0603
249,15865,R,Slider,,,,83.7944,,-5.41444,-33.6525
250,15865,R,Curveball,,,,77.459,2334.06,-14.4952,-52.3713
251,15865,R,Curveball,,,,76.5555,2388.27,-9.29692,-58.6102
252,15865,R,Changeup,,,,81.5908,1969.74,18.0721,-27.9216
253,15865,R,Changeup,,,,81.8516,2089.86,12.7761,-28.0382
254,15865,R,Fastball,,,,90.5473,2278.94,2.05245,-16.8923
255,15865,R,Curveball,,,,77.4261,2410.22,-8.89179,-59.0287
256,15865,R,Curveball,,,,77.8081,2381.75,-10.3687,-53.8984
257,15865,R,Curveball,,,,76.8117,2354.95,-8.7407,-52.2544
258,15865,R,Curveball,,,,77.8285,2374.81,-16.7012,-47.356
259,15865,R,Fastball,,,,89.8709,2268.61,-0.120892,-19.1122
260,15865,R,Fastball,,,,89.8991,2202.29,12.998,-20.6756
261,15865,R,Fastball,,,,89.8187,2289.18,7.99279,-18.3241
262,15865,R,Fastball,,,,91.2809,2187.18,3.538,-19.0779
263,15865,R,Fastball,,,,89.4518,2030.28,11.6475,-21.7585
264,15865,R,Curveball,,,,76.5006,2167.43,-9.51236,-52.7172
265,15865,R,Curveball,,,,76.9298,2284.27,-7.7797,-57.5779
266,15865,R,Slider,,,,80.6958,,-1.5682,-44.1599
267,15865,R,Slider,,,,82.2797,2227.1,-2.37873,-40.6539
268,15865,R,Slider,,,,80.5131,,-10.6561,-42.4242
269,15865,R,Slider,,,,81.6419,,-5.00533,-39.4272
270,15865,R,Fastball,,,,88.3364,2054.34,16.6777,-28.5374
271,15865,R,Fastball,,,,90.6143,2172.61,6.46215,-15.8836
272,15865,R,Fastball,,,,91.3316,2181.94,7.11201,-18.2307
273,15865,R,Fastball,,,,91.7325,2230.22,13.3026,-18.0147
274,15865,R,Fastball,,,,92.2474,2224.93,9.76072,-17.1114
275,15865,R,Fastball,,,,92.8017,2280.03,7.74121,-15.2002
276,15865,R,Slider,,,,85.097,,-6.20986,-43.7328
277,15865,R,Slider,,,,85.5866,,-3.65364,-38.0996
278,15865,R,Fastball,,,,93.0747,2321.79,2.9249,-17.4114
279,15865,R,Fastball,,,,92.651,2292.03,16.8636,-25.7436
280,15865,R,Fastball,,,,90.7423,2272.34,6.31772,-18.8903
281,15865,R,Fastball,,,,89.9365,2218.48,14.6982,-22.7936
282,15865,R,Fastball,,,,92.2522,2321.04,15.8313,-24.5266
283,15865,R,Fastball,,,,89.6447,2221.8,6.71114,-18.0796
284,15865,R,Fastball,,,,90.9462,2296.1,5.52857,-15.6876
285,15865,R,Fastball,,,,90.9118,2237.26,11.2308,-30.0601
286,15865,R,Slider,,,,85.2162,2166.07,-6.27875,-38.7476
287,15865,R,Curveball,,,,78.7998,1162.4,-13.1518,-54.9484
288,15865,R,Curveball,,,,77.0425,2265.4,-9.8626,-52.9273
289,15865,R,Fastball,,,,90.9693,2291.07,15.7866,-24.4148
290,15865,R,Fastball,,,,89.944,2243.63,13.4262,-24.6142
291,15865,R,Fastball,,,,91.9046,2350.19,13.5351,-18.8633
292,15865,R,Fastball,,,,91.438,2363.43,17.7344,-25.7113
293,15865,R,Curveball,,,,78.9247,,-8.39066,-48.5629
294,15865,R,Fastball,,,,91.4119,2271.93,7.56806,-16.227
295,15865,R,Fastball,,,,90.2334,2224.27,5.17445,-16.9325
296,15865,R,Curveball,,,,76.1714,2296.38,-11.3378,-54.6841
297,15865,R,Fastball,,,,90.3619,2274.28,10.6836,-20.0188
298,15865,R,Fastball,,,,90.3319,2217.7,6.16987,-17.0522
299,15865,R,Curveball,,,,77.7905,2409.81,-9.39952,-60.8712
300,15865,R,Slider,,,,83.1416,1150.64,-7.87562,-36.7527
301,15865,R,Fastball,,,,91.9147,2363.36,17.4928,-15.033
302,15865,R,Curveball,,,,79.9478,2424.86,-4.40995,-46.8921
303,15865,R,Fastball,,,,91.4706,2283.77,13.5288,-22.4189
304,15865,R,Fastball,,,,91.7289,2280.26,13.6747,-20.869
305,15865,R,Fastball,,,,92.0907,2263.37,17.5382,-14.8705
306,15865,R,Slider,,,,84.7832,,-8.05583,-40.9452
307,15865,R,Slider,,,,83.0731,,-6.6751,-41.5233
308,15865,R,Fastball,,,,91.7516,2183.54,17.4292,-21.9601
309,15865,R,Slider,,,,81.9387,,-6.333,-37.0843
310,15865,R,Slider,,,,85.0417,,-4.79514,-39.494
311,15865,R,Slider,,,,85.8116,,-1.57346,-36.397
312,15865,R,Fastball,,,,90.6353,2242.91,19.6925,-25.3189
313,15865,R,Fastball,,,,89.9687,2223.89,15.2079,-27.3935
314,15865,R,Fastball,,,,90.4096,2315.74,7.62293,-20.5598
315,15865,R,Fastball,,,,92.4672,2232.29,16.7909,-21.2889
316,15865,R,Fastball,,,,91.4304,2245.62,20.2715,-22.9476
317,15865,R,Slider,,,,83.6149,,-3.39406,-41.5596
318,15865,R,Slider,,,,83.267,,-6.55088,-38.3881
319,15865,R,Fastball,,,,91.0165,2261.8,11.1962,-20.3678
320,15865,R,Fastball,,,,91.0991,2280.08,5.31052,-15.2755
321,15865,R,Slider,,,,83.9295,1893.11,-10.2396,-33.4189
322,15865,R,Curveball,,,,78.1888,2334.96,-13.6032,-53.3232
323,15865,R,Fastball,,,,89.182,2217.33,3.19145,-19.3577
324,15865,R,Fastball,,,,91.0629,2274.92,14.1001,-23.7238
325,15865,R,Fastball,,,,90.4891,2213.5,16.1216,-25.7116
326,15865,R,Fastball,,,,90.0022,2332.45,3.27917,-19.4401
327,15865,R,Curveball,,,,78.8867,2385.55,-12.9561,-56.5853
328,15865,R,Curveball,,,,78.6383,2358.08,-11.3483,-57.9297
329,15865,R,Fastball,,,,91.5554,2276.74,0.907292,-17.5067
330,15865,R,Fastball,,,,92.8149,2260.94,7.31967,-18.4126
331,15865,R,Fastball,,,,91.4743,2309.27,14.9909,-24.0889
332,15865,R,Changeup,,,,83.2285,1985.46,17.8233,-35.6397
333,15865,R,Slider,,,,81.8919,2303.09,-0.93679,-40.0357
334,15865,R,Fastball,,,,91.1103,2302.1,13.4095,-23.0268
335,15865,R,Fastball,,,,92.2891,2330.34,6.14165,-17.152
336,15865,R,Fastball,,,,91.8773,2298.53,3.05206,-15.8451
337,15865,R,Fastball,,,,91.7089,2327.26,18.9394,-23.0666
338,15865,R,Fastball,,,,92.3623,2293.42,14.5636,-19.1235
339,15865,R,Fastball,,,,91.7312,2300.58,3.90117,-15.2366
340,15865,R,Curveball,,,,76.6549,2278.68,-11.1759,-55.8784
341,15865,R,Fastball,,,,90.6422,2260.39,13.4187,-26.2149
342,15865,R,Fastball,,,,89.0393,2173.16,11.547,-26.2545
343,15865,R,Fastball,,,,90.2163,2358.14,10.3545,-17.5521
344,15865,R,Fastball,,,,91.4154,2157.44,18.6676,-23.3247
345,15865,R,Fastball,,,,89.8868,2066.19,15.4895,-28.6016
346,15865,R,Fastball,,,,91.429,2269.36,7.76608,-15.6237
347,15865,R,Fastball,,,,91.8565,2322.62,19.8905,-22.6804
348,15865,R,Curveball,,,,79.0295,2469.74,-13.272,-56.5364
349,15865,R,Fastball,,,,90.4169,2321.52,3.93569,-24.1223
350,15865,R,Fastball,,,,92.1173,2335.76,7.34003,-15.1331
351,15865,R,Fastball,89.3,-3.56,6.84,,,,
352,15865,R,Slider,81.6,3.2,-3.14,,,,
353,15865,R,Fastball,90.1,-6.32,8.59,,,,
354,15865,R,Fastball,91.6,-5.73,6.63,,,,
355,15865,R,Slider,83.9,1.16,-0.03,,,,
356,15865,R,Fastball,90.4,-8.52,2.83,,,,
357,15865,R,Fastball,90.5,-4.5,6.71,,,,
358,15865,R,Fastball,92.3,-10.74,1.7,,,,
359,15865,R,Fastball,91.4,-5.57,8.41,,,,
360,15865,R,Curveball,77.1,2.87,-2.03,,,,
361,15865,R,Slider,81.1,0.01,1.13,,,,
362,15865,R,Slider,83.3,2.44,-0.8,,,,
363,15865,R,Fastball,91.4,-4.72,7.09,,,,
364,15865,R,Fastball,92.3,-5,6.61,,,,
365,15865,R,Fastball,93,-7.8,10,,,,
366,15865,R,Fastball,91.8,-9.83,5.03,,,,
367,15865,R,Fastball,90.4,-7.34,7.01,,,,
368,15865,R,Slider,83.3,1.58,0.44,,,,
369,15865,R,Slider,83.1,2.23,-2.54,,,,
370,15865,R,Fastball,92.3,-4.42,6.96,,,,
371,15865,R,Changeup,83,-7.91,5.26,,,,
372,15865,R,Changeup,83.5,-10.46,5.46,,,,
373,15865,R,Curveball,79.2,1.82,-1.61,,,,
374,15865,R,Slider,83.4,-0.27,0.05,,,,
375,15865,R,Slider,82.7,1.56,-1.06,,,,
376,15865,R,Fastball,91.5,-11.14,7.65,,,,
377,15865,R,Fastball,91.8,-11.73,6.83,,,,
378,15865,R,Fastball,92.7,-11.12,6.79,,,,
379,15865,R,Slider,82.7,0.99,-1.69,,,,
380,15865,R,Slider,82.6,2.04,4.75,,,,
381,15865,R,Fastball,89.9,-7.62,9.24,,,,
382,15865,R,Fastball,91.4,-8.7,8.89,,,,
383,15865,R,Fastball,91.8,-8.3,8.25,,,,
384,15865,R,Fastball,90.9,-8.18,6.9,,,,
385,15865,R,Slider,83.8,1.19,1.96,,,,
386,15865,R,Curveball,79,3.66,-5.86,,,,
387,15865,R,Fastball,90.9,-9.95,1.89,,,,
388,15865,R,Fastball,88.3,-5.12,7.48,,,,
389,15865,R,Fastball,88.5,-8.9,5.44,,,,
390,15865,R,Fastball,90.6,-7.18,7.83,,,,
391,15865,R,Fastball,91.9,-3.63,8.21,,,,
392,15865,R,Fastball,89.8,-6.37,5.15,,,,
393,15865,R,Fastball,91.1,-9.48,2.76,,,,
394,15865,R,Slider,82.8,0.61,-1.02,,,,
